review_case_id,company,ticker,start_year,end_year,reviewed_source_scope,recoverability,available_auxiliary_evidence,reason_omega_unavailable,recommended_treatment
avhi_acres_era,AV Homes / Avatar,AVHI,2004,2008,All available annual 10-K land-position disclosures,not_recoverable_as_comparable_omega,Owned acreage and land investment balances,Filings report acres rather than a physical owned-versus-nonowned lot split,Leave omega missing; retain acreage only as a separately labeled scale measure
avhi_land_position_era,AV Homes / Avatar,AVHI,2009,2017,All available annual 10-K land-position disclosures,not_recoverable_as_comparable_omega,Total land position and development-status components,Filings do not separate the physical land position into owned and nonowned controlled counts,Leave omega missing; retain total land-position scale
wci_entitlement_era,WCI Communities,WCI/WCIC,2004,2008,Pre-bankruptcy annual 10-K property and land tables,not_recoverable_as_comparable_omega,Entitlement capacity units and acreage,Capacity includes towers and development rights and is not a comparable physical lot denominator,Leave omega missing; use only in a separately labeled entitlement-capacity series
levitt_combined_pipeline,Levitt and Sons,LEV,2004,2006,Annual 10-K TOTAL HOMEBUILDING pipeline tables,not_recoverable_as_comparable_omega,Planned units closed units backlog and properties under contract,Current developments explicitly include optioned lots but do not quantify that subset,Leave omega missing; retain pipeline and operating scale
levitt_bankruptcy_exit,Levitt and Sons,LEV,2007,2007,Annual 10-K bankruptcy and deconsolidation disclosure,not_recoverable_as_comparable_omega,Bankruptcy and cessation chronology,Levitt ceased development and was deconsolidated before year-end,Leave omega missing and code the firm exit
chci_missing_nonowned_count,Comstock Holding Companies,CHCI,2010,2012,Annual 10-K owned-unsold and contract disclosures,not_recoverable_as_comparable_omega,Owned unsold lots and qualitative option or purchase agreements,Filings do not report a physical nonowned option or control count,Leave omega missing; retain owned count only
dfh_pipeline_only,Dream Finders Homes,DFH,2024,2025,Annual 10-K controlled-lot pipeline disclosures,not_recoverable_as_comparable_omega,Controlled-lot pipeline levels,Filings report the controlled pipeline but no physical owned-lot denominator,Leave omega missing; retain controlled-lot level only
ryland_dollars_only,Ryland Group,RYL,2004,2004,Annual 10-K option commitment and deposit disclosures,not_recoverable_as_comparable_omega,Option and land-purchase dollar commitments,No physical owned-versus-optioned lot-count split appears in the filing,Leave omega missing; retain financial exposure only
capital_pacific_no_overlap,Capital Pacific Holdings,CPH,2004,2006,SEC annual-report index and Builder-public years,not_recoverable_from_builder_era_10k,SEC annual reports through fiscal 2003,No SEC 10-K overlaps the 2004-2006 Builder-public window,Leave omega missing and flag no SEC overlap
wreco_early_no_split,Weyerhaeuser Real Estate Co.,WY,2004,2008,Annual Weyerhaeuser parent 10-K Real Estate segment disclosures,not_recoverable_as_comparable_omega,Homes sold homes closed backlog revenues ASP and qualitative option language,No annual physical owned-versus-optioned lot split is reported,Leave omega missing; retain audited operating outcomes
wreco_option_only,Weyerhaeuser Real Estate Co.,WY,2009,2011,Annual Weyerhaeuser parent 10-K Real Estate segment disclosures,not_recoverable_as_comparable_omega,Approximately 63000 residential lots under option plus operating outcomes,No same-scope total controlled or owned-lot denominator is reported,Leave omega missing; retain option level and operating outcomes
wreco_2012_scope_mismatch,Weyerhaeuser Real Estate Co.,WY,2012,2012,Annual Weyerhaeuser parent 10-K Real Estate segment disclosures,not_recoverable_as_comparable_omega,26514 operating controlled lots plus 67000 Coyote Springs lots and approximately 59000 optioned lots,Controlled totals and option counts use overlapping but nonidentical scopes and Coyote Springs is described as mostly under option,Leave omega missing; retain each disclosed component with its scope
wreco_2013_unknown_operating_split,Weyerhaeuser Real Estate Co.,WY,2013,2013,Annual Weyerhaeuser parent 10-K Real Estate segment disclosures,not_recoverable_as_comparable_omega,27613 operating controlled lots plus exact excluded Coyote Springs split of 10686 owned and 56413 optioned lots,The owned-versus-optioned split within the 27613 operating controlled lots is not reported,Leave firmwide omega missing; retain Coyote and operating pipeline components separately
jim_walter_on_your_lot,Jim Walter Homes,WLT,2004,2008,Annual Walter Industries parent 10-K Homebuilding segment disclosures,structurally_not_applicable,Home completions orders revenue and segment operating results,Customers supply the lots under the on-your-lot business model so conventional builder land ownership and optioning is not the relevant input,Code omega structurally missing; retain operating outcomes in a separate business-model category
