builder_name_key,harmonized_builder_id,harmonized_builder_name,collapse_indicator,same_firm_confidence,harmonization_action,source_url,source_note,manual_review_indicator_harmonization,notes
pulte homes,pultegroup,PulteGroup,TRUE,high,same_legal_registrant_name_change,https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/d10k.htm,"SEC 2010 10-K says the registrant changed its name from Pulte Homes, Inc. to PulteGroup, Inc.",FALSE,"Collapse Builder's Pulte Homes and PulteGroup labels."
pultegroup,pultegroup,PulteGroup,TRUE,high,same_legal_registrant_name_change,https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/d10k.htm,"SEC 2010 10-K says the registrant changed its name from Pulte Homes, Inc. to PulteGroup, Inc.",FALSE,"Collapse Builder's Pulte Homes and PulteGroup labels."
meritage corp,meritage_homes,Meritage Homes,TRUE,high,same_legal_registrant_name_change,https://investors.meritagehomes.com/sec-filings/all-sec-filings/content/0001104659-04-027692/a04-10468_1ex99d1.htm,"Meritage release says Meritage Corporation changed its name to Meritage Homes Corporation.",FALSE,"Collapse Builder's Meritage Corp., Meritage Homes Corp., and Meritage Homes labels."
meritage homes corp,meritage_homes,Meritage Homes,TRUE,high,same_legal_registrant_name_change,https://investors.meritagehomes.com/sec-filings/all-sec-filings/content/0001104659-04-027692/a04-10468_1ex99d1.htm,"Meritage release says Meritage Corporation changed its name to Meritage Homes Corporation.",FALSE,"Collapse Builder's Meritage Corp., Meritage Homes Corp., and Meritage Homes labels."
meritage homes,meritage_homes,Meritage Homes,TRUE,high,same_legal_registrant_name_change,https://investors.meritagehomes.com/sec-filings/all-sec-filings/content/0001104659-04-027692/a04-10468_1ex99d1.htm,"Meritage release says Meritage Corporation changed its name to Meritage Homes Corporation.",FALSE,"Collapse Builder's Meritage Corp., Meritage Homes Corp., and Meritage Homes labels."
avatar holdings,av_homes_avatar_holdings,AV Homes / Avatar Holdings,TRUE,high,same_legal_registrant_name_change,https://www.globenewswire.com/news-release/2012/02/15/468145/0/en/Avatar-Holdings-Inc-Becomes-AV-Homes-Inc.html,"GlobeNewswire release says Avatar Holdings Inc. became AV Homes, Inc. and retained ticker AVHI.",FALSE,"Collapse Builder's Avatar Holdings and AV Homes labels."
av homes formerly avatar holdings,av_homes_avatar_holdings,AV Homes / Avatar Holdings,TRUE,high,same_legal_registrant_name_change,https://www.globenewswire.com/news-release/2012/02/15/468145/0/en/Avatar-Holdings-Inc-Becomes-AV-Homes-Inc.html,"GlobeNewswire release says Avatar Holdings Inc. became AV Homes, Inc. and retained ticker AVHI.",FALSE,"Collapse Builder's Avatar Holdings and AV Homes labels."
av homes,av_homes_avatar_holdings,AV Homes / Avatar Holdings,TRUE,high,same_legal_registrant_name_change,https://www.globenewswire.com/news-release/2012/02/15/468145/0/en/Avatar-Holdings-Inc-Becomes-AV-Homes-Inc.html,"GlobeNewswire release says Avatar Holdings Inc. became AV Homes, Inc. and retained ticker AVHI.",FALSE,"Collapse Builder's Avatar Holdings and AV Homes labels."
standard pacific corp,standard_pacific_calatlantic,Standard Pacific / CalAtlantic,TRUE,high,same_sec_registrant_name_change_after_merger,https://newsroom.lennar.com/2015-11-04-CalAtlantic-Group-Inc-Reports-2015-Third-Quarter-Results,"CalAtlantic release says Standard Pacific changed its name to CalAtlantic Group after Ryland merged into Standard Pacific.",FALSE,"Collapse Standard Pacific and CalAtlantic as the same surviving registrant label; keep Ryland separate before the merger."
calatlantic group,standard_pacific_calatlantic,Standard Pacific / CalAtlantic,TRUE,high,same_sec_registrant_name_change_after_merger,https://newsroom.lennar.com/2015-11-04-CalAtlantic-Group-Inc-Reports-2015-Third-Quarter-Results,"CalAtlantic release says Standard Pacific changed its name to CalAtlantic Group after Ryland merged into Standard Pacific.",FALSE,"Collapse Standard Pacific and CalAtlantic as the same surviving registrant label; keep Ryland separate before the merger."
technical olympic usa,tousa_technical_olympic,TOUSA / Technical Olympic USA,TRUE,high,same_public_parent_or_division_label,https://www.sec.gov/Archives/edgar/data/1046578/000095014408006390/g14602e10vk.htm,"TOUSA 2007 10-K links Engle, Technical Olympic USA, and TOUSA; Builder labels Engle as a division of TOUSA Homes.",TRUE,"Collapse for Builder public-parent counting, but retain manual review because this is a division/public-parent label rather than a clean public ticker match."
engle homes division of tousa homes,tousa_technical_olympic,TOUSA / Technical Olympic USA,TRUE,high,same_public_parent_or_division_label,https://www.sec.gov/Archives/edgar/data/1046578/000095014408006390/g14602e10vk.htm,"TOUSA 2007 10-K links Engle, Technical Olympic USA, and TOUSA; Builder labels Engle as a division of TOUSA Homes.",TRUE,"Collapse for Builder public-parent counting, but retain manual review because this is a division/public-parent label rather than a clean public ticker match."
st joe co,st_joe,St. Joe,TRUE,high,same_public_parent_residential_segment,https://ir.joe.com/news-releases/news-release-details/st-joe-company-nyse-joe-reports-full-year-2005-net-income-166/,"St. Joe source identifies St. Joe Towns & Resorts as JOE's residential and resort development segment.",FALSE,"Collapse St. Joe Co. and St. Joe Towns & Resorts for firm counting; the SEC crosswalk still flags the public parent as non-comparable."
st joe towns and resorts,st_joe,St. Joe,TRUE,high,same_public_parent_residential_segment,https://ir.joe.com/news-releases/news-release-details/st-joe-company-nyse-joe-reports-full-year-2005-net-income-166/,"St. Joe source identifies St. Joe Towns & Resorts as JOE's residential and resort development segment.",FALSE,"Collapse St. Joe Co. and St. Joe Towns & Resorts for firm counting; the SEC crosswalk still flags the public parent as non-comparable."
